# Informational tested-host inventory, captured on Ubuntu 26.04.1 x86_64.
# APT sources remain distribution-managed; this is an audit record rather than
# an installable lock file. Architecture suffixes are retained where dpkg
# reports them. git provides the install script's git-core virtual package.
package	version
7zip	26.00+dfsg-1
android-sdk-libsparse-utils	1:34.0.5-12build1
bison	2:3.8.2+dfsg-1build4
brotli	1.2.0-3build1
build-essential	12.12ubuntu2.26.04.2
ca-certificates	20260601~26.04.1
ccache	4.12.3-1
curl	8.18.0-1ubuntu2.4
device-tree-compiler	1.7.2-2ubuntu1
diffutils	1:3.12-1
e2fsprogs	1.47.2-3ubuntu4
erofs-utils	1.9.1-1
f2fs-tools	1.16.0-2build1
flex	2.6.4-8.2build2
fontconfig	2.17.1-3ubuntu1
git	1:2.53.0-1ubuntu1
git-lfs	3.7.1-1
gnupg	2.4.8-4ubuntu3
gperf	3.3-1
jq	1.8.1-4ubuntu2
lib32z1-dev	1:1.3.dfsg+really1.3.1-1ubuntu3
libc6-dev-i386	2.43-2ubuntu2.3
libgl1-mesa-dev:amd64	26.0.8-1ubuntu0.3
libx11-dev:amd64	2:1.8.13-1
libxml2-utils	2.15.2+dfsg-0.1ubuntu0.1
lz4	1.10.0-8
openssh-client	1:10.2p1-2ubuntu3.5
openssl	3.5.5-1ubuntu3.4
pkgconf:amd64	2.5.1-4
protobuf-compiler	3.21.12-15ubuntu1
python3-protobuf	3.21.12-15ubuntu1
repo	2.58-4
rsync	3.4.1+ds1-7ubuntu0.3
shellcheck	0.11.0-2
unzip	6.0-29ubuntu1
util-linux	2.41.3-3ubuntu2
x11proto-core-dev	2025.1-1
xsltproc	1.1.45-0.1
xxd	2:9.1.2141-1ubuntu4.8
xz-utils	5.8.3-1
zip	3.0-15ubuntu3
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zstd	1.5.7+dfsg-3
